multiplier,std_time,unix_time
2.43,2024-04-13 20:17:52+00:00,1713039472
1.35,2024-04-13 20:18:29+00:00,1713039509
1.09,2024-04-13 20:19:11+00:00,1713039551
1.0,2024-04-13 20:19:54+00:00,1713039594
6.53,2024-04-13 20:20:41+00:00,1713039641
1.22,2024-04-13 20:21:07+00:00,1713039667
1.01,2024-04-13 20:21:44+00:00,1713039704
5.04,2024-04-13 20:22:36+00:00,1713039756
7.35,2024-04-13 20:23:03+00:00,1713039783
1.03,2024-04-13 20:23:22+00:00,1713039802
9.53,2024-04-13 20:24:03+00:00,1713039843
1.0,2024-04-13 20:24:21+00:00,1713039861
1.21,2024-04-13 20:24:57+00:00,1713039897
1.77,2024-04-13 20:26:02+00:00,1713039962
7.53,2024-04-13 20:31:13+00:00,1713040273
1.4,2024-04-13 20:33:55+00:00,1713040435
2.2,2024-04-13 20:35:03+00:00,1713040503
1.25,2024-04-13 20:35:21+00:00,1713040521
1.08,2024-04-13 20:36:48+00:00,1713040608
1.81,2024-04-13 20:38:05+00:00,1713040685
4.66,2024-04-13 20:38:36+00:00,1713040716
1.8,2024-04-13 20:38:54+00:00,1713040734
1.29,2024-04-13 20:38:59+00:00,1713040739
1.65,2024-04-13 20:39:22+00:00,1713040762
15.82,2024-04-13 20:40:11+00:00,1713040811
207.7,2024-04-13 20:41:30+00:00,1713040890
3.94,2024-04-13 20:42:05+00:00,1713040925
2.45,2024-04-13 20:43:19+00:00,1713040999
4.72,2024-04-13 20:43:43+00:00,1713041023
1.69,2024-04-13 20:44:11+00:00,1713041051
1.71,2024-04-13 20:44:50+00:00,1713041090
1.0,2024-04-13 20:45:23+00:00,1713041123
6.1,2024-04-13 20:46:56+00:00,1713041216
1.92,2024-04-13 20:48:12+00:00,1713041292
4.88,2024-04-13 20:48:53+00:00,1713041333
1.22,2024-04-13 20:49:06+00:00,1713041346
6.36,2024-04-13 20:49:35+00:00,1713041375
1.43,2024-04-13 20:50:18+00:00,1713041418
1.34,2024-04-13 20:50:33+00:00,1713041433
1.87,2024-04-13 20:52:49+00:00,1713041569
1.75,2024-04-13 20:53:32+00:00,1713041612
8.7,2024-04-13 20:54:07+00:00,1713041647
1.1,2024-04-13 20:54:19+00:00,1713041659
9.34,2024-04-13 20:55:05+00:00,1713041705
1.33,2024-04-13 20:55:28+00:00,1713041728
1.29,2024-04-13 20:56:22+00:00,1713041782
1.45,2024-04-13 20:57:41+00:00,1713041861
1.54,2024-04-13 20:58:43+00:00,1713041923
1.6,2024-04-13 20:59:05+00:00,1713041945
1.46,2024-04-13 20:59:31+00:00,1713041971
2.23,2024-04-13 20:59:47+00:00,1713041987
1.26,2024-04-13 21:01:55+00:00,1713042115
1.0,2024-04-13 21:02:25+00:00,1713042145
2.16,2024-04-13 21:03:35+00:00,1713042215
62.87,2024-04-13 21:04:00+00:00,1713042240
1.98,2024-04-13 21:04:26+00:00,1713042266
3.24,2024-04-13 21:04:47+00:00,1713042287
12.42,2024-04-13 21:05:57+00:00,1713042357
1.28,2024-04-13 21:07:12+00:00,1713042432
2.19,2024-04-13 21:07:42+00:00,1713042462
1.21,2024-04-13 21:08:32+00:00,1713042512
1.79,2024-04-13 21:09:02+00:00,1713042542
1.53,2024-04-13 21:09:34+00:00,1713042574
1.13,2024-04-13 21:09:47+00:00,1713042587
12.07,2024-04-13 21:10:45+00:00,1713042645
2.82,2024-04-13 21:11:08+00:00,1713042668
3.01,2024-04-13 21:13:25+00:00,1713042805
1.37,2024-04-13 21:13:46+00:00,1713042826
4.63,2024-04-13 21:14:34+00:00,1713042874
2.3,2024-04-13 21:14:46+00:00,1713042886
1.17,2024-04-13 21:15:30+00:00,1713042930
2.02,2024-04-13 21:16:19+00:00,1713042979
4.83,2024-04-13 21:16:52+00:00,1713043012
1.55,2024-04-13 21:18:10+00:00,1713043090
1.36,2024-04-13 21:18:43+00:00,1713043123
1.06,2024-04-13 21:19:02+00:00,1713043142
1.35,2024-04-13 21:19:15+00:00,1713043155
6.51,2024-04-13 21:20:08+00:00,1713043208
1.57,2024-04-13 21:20:54+00:00,1713043254
1.35,2024-04-13 21:21:48+00:00,1713043308
2.5,2024-04-13 21:22:23+00:00,1713043343
9.21,2024-04-13 21:24:01+00:00,1713043441
2.57,2024-04-13 21:24:20+00:00,1713043460
6.86,2024-04-13 21:25:09+00:00,1713043509
1.9,2024-04-13 21:26:10+00:00,1713043570
1.36,2024-04-13 21:27:30+00:00,1713043650
73.39,2024-04-13 21:28:41+00:00,1713043721
1.16,2024-04-13 21:29:04+00:00,1713043744
5.56,2024-04-13 21:29:35+00:00,1713043775
